Date,Description,ChequeNo,Amount,Type
01-04-2025,IMPS:REC:509112704659/3D EDGE/KKBK/XX6882/COLOUR P,,"1,32,547.00",Cr
01-04-2025,01841700000295:Int.Coll:02-03-2025 to 01-04-2025,,"10,235.00",Dr
02-04-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4803,"11,342.00",Dr
02-04-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4781,"58,764.00",Dr
03-04-2025,GAYATRI ENTERPRISES/CLG/KOTAK MAHINDRA BANK LT,4802,"7,939.00",Dr
03-04-2025,LIC Thane 933000XXXX/CLG/HDFC BANK LTD,4814,"45,138.00",Dr
03-04-2025,DHANLAXMI ENTERPRISE/CLG/,4798,"7,387.00",Dr
03-04-2025,STAR SYNDICATE/CLG/KOTAK MAHINDRA BANK LT,4797,"16,500.00",Dr
04-04-2025,1705/HDFC BK/JUHU TARA,,"1,82,037.00",Cr
04-04-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4804,"33,333.00",Dr
04-04-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4786,"38,737.00",Dr
05-04-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4805,"20,140.00",Dr
05-04-2025,CHETAK MINERALS/CLG/HDFC BANK LTD,4815,"5,892.00",Dr
07-04-2025,IMPS:REC:509708807814/RKENGINEE/UTIB/XX5147/IMPS,,5.00,Cr
07-04-2025,IMPS:REC:509708826193/RKENGINEE/UTIB/XX5147/IMPS,,"19,470.00",Cr
07-04-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4806,"20,000.00",Dr
07-04-2025,DHANLAXMI ENTERPRISE/CLG/,4816,"5,800.00",Dr
07-04-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4818,"3,651.00",Dr
08-04-2025,IMPS:REC:509811880367/RKENGINEE/UTIB/XX5147/IMPS,,"19,942.00",Cr
09-04-2025,1160/ICICI BK/SERVICE BRANCH,,"2,30,880.00",Cr
09-04-2025,168/BASEIN CTH/THANE (TNA),,"1,05,000.00",Cr
09-04-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4807,"48,451.00",Dr
09-04-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4808,"18,883.00",Dr
09-04-2025,BHAIRAVNATH ENTERPRI/CLG/TAMILNAD MERCANTILE BA,4796,"6,695.00",Dr
09-04-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4819,"57,494.00",Dr
10-04-2025,1723/HDFC BK/JUHU TARA,,"2,16,859.00",Cr
10-04-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4809,809.00,Dr
10-04-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4821,"36,662.00",Dr
10-04-2025,GUJARAT COLOURS AND/CLG/YES BANK,4817,"5,151.00",Dr
14-04-2025,GLOBAL COLOURS AND C/CLG/HDFC BANK LTD,4820,"9,003.00",Dr
14-04-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4891,"1,259.00",Dr
16-04-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4876,"1,04,991.00",Dr
16-04-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,4822,"8,425.00",Dr
16-04-2025,RAHUL CHEMICAL/CLG/IDBI BANK LTD.,4894,"3,250.00",Dr
16-04-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4810,"26,418.00",Dr
16-04-2025,DHANLAXMI ENTERPRISE/CLG/,4825,"7,387.00",Dr
16-04-2025,CHIRAG CHEMICALS/CLG/THANE JANATA SAHAKARI,4892,"6,580.00",Dr
16-04-2025,CHETAK MINERALS/CLG/HDFC BANK LTD,4824,"10,125.00",Dr
17-04-2025,4/HDFC BK/GHODBUNDER,,"28,751.00",Cr
17-04-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4893,"10,801.00",Dr
17-04-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4811,"1,27,232.00",Dr
17-04-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4895,"6,241.00",Dr
18-04-2025,NEFT/PJSBN52025041800842470/PJSB/KAYYUM TRAVELS PR,,"50,000.00",Cr
19-04-2025,NEFT/KKBKN62025041939131458/KKBK/3D EDGE,,"2,64,380.00",Cr
21-04-2025,ULTRATECH CEMENT LIM/CLG/ICICI BANK LTD,4896,"13,523.00",Dr
21-04-2025,NEFT/UTIBN62025042163915925/UTIB/S M STAR PAINTING,,"1,00,000.00",Cr
21-04-2025,UPI:REC:511117188710/CORNERSTONE CONSTR/HDFC BANK,,"40,000.00",Cr
22-04-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4812,"1,02,686.00",Dr
23-04-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4877,"42,208.00",Dr
24-04-2025,MB NEFT/DCBLN62025042430080675/RBIS/GST/GST,,"38,260.00",Dr
25-04-2025,ESDEE PAINTS LTD/CLG/HDFC BANK LTD,4904,"31,178.00",Dr
25-04-2025,NEFT/KKBKN62025042546759402/KKBK/3D EDGE,,"96,883.00",Cr
28-04-2025,MK TRADERS/CLG/IDFC BANK LTD.,4898,"5,662.00",Dr
28-04-2025,SHREENATH TRADERS/CLG/IDBI BANK LTD.,4899,"8,260.00",Dr
28-04-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4908,"10,801.00",Dr
28-04-2025,BHAIRAVNATH ENTERPRI/CLG/TAMILNAD MERCANTILE BA,4901,"12,118.00",Dr
28-04-2025,CHETAK MINERALS/CLG/HDFC BANK LTD,4900,"10,125.00",Dr
29-04-2025,9/HDFC BK/GHODBUNDER,,"15,140.00",Cr
